Pág.;Mês;Ano;REMUNERAÇÃOMES;VA Funcionario;DIAS/HORASTRAB;Seguro Vida Fun;Reembolso VR;Vale Ref Func;Hr Adic Pericul;INSS Normal;IRF Normal;Vale Transp Fun;Adt Norm Desc;DSR Adicional;Hr Ext Diu 60%;Hr Ext Diu 80%;Vale Gas;Smart 500 QC;Hrs Atrasos;DSR;Part Lucr Resul;IRF Part Result;Dif. Sal Diss;PLR Pago;Reemb Desc Inde;Dif Diss VR;41613º Sal. Adto;13º Adt Pago;13º. Adto Desc;Hr Adic Noturno;INSS 13o. Sal;Hr Ext Not 80%;IRF 13o. Sal;Hr Supl Ext Not;37313º Norm Recal;37613º Adic Recal;13º. Pg Dezembr;37113º Normal;37413º Adicionais;13º Adic Desc;Reemb. Despesas;Multas;Reemb. Ass. Méd;Ferias Recebida;IRF Recol Fer;Fer Normais;Médias Férias;Fer 1/3;Dif.Diss.Ferias;Dif Diss HE/DSR;Dif. Diss. Peri;42013º Adic Adto;Hr Ext Not 60%;Hr Ext Diu 100%
1;04;2017;969,73;30,67;146,67;2,40;360,00;36,00;290,92;100,85;0,00;58,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;05;2017;1.454,59;46,00;220,00;2,40;;66,00;436,38;185,83;0,00;87,28;756,39;28,03;116,66;29,13;4,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;06;2017;1.454,59;46,00;220,00;2,40;;60,00;436,38;190,52;0,00;87,28;756,39;45,20;156,31;24,49;4,25;215,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;07;2017;1.454,59;46,00;220,00;2,40;;63,00;436,38;184,71;0,00;87,28;756,39;28,85;125,60;12,89;4,25;215,13;5,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;08;2017;1.521,60;46,00;220,00;2,51;;75,00;456,48;174,05;0,00;91,30;756,39;0,88;5,75;;4,25;215,13;;50,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;09;2017;1.521,60;46,00;220,00;2,51;;66,00;456,48;178,33;0,00;91,30;791,23;0,57;2,88;;4,25;208,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;10;2017;;;;;;;;;;;;;;;;;;;2.819,91;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;10;2017;1.567,25;50,14;220,00;2,58;;63,00;470,18;190,14;0,00;94,04;791,23;3,45;13,82;;4,25;208,47;1,39;;2.819,91;;59,45;2.819,91;50,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;11;2017;1.567,25;48,07;220,00;2,58;33,00;72,60;470,18;243,56;13,46;94,04;814,97;133,77;446,75;88,35;4,32;208,47;;;;;;;;57,00;764,00;764,00;;;;;;;;;;;;;;;;;;;;;;;;;;
2;12;2017;1.567,25;48,07;220,00;2,58;66,00;66,00;470,18;240,90;11,44;94,04;814,97;127,85;296,34;173,38;4,32;208,47;;;;;;;;;;;764,00;6,21;155,60;31,96;0,00;3,51;1.528,07;200,83;749,19;;;;;;;;;;;;;;;;;
