Data;Entrada 1;Saída 1;Entrada 2;Saída 2
01/05/2010;;;;
02/05/2010;;;;
03/05/2010;;;;
04/05/2010;;;;
05/05/2010;;;;
06/05/2010;;;;
07/05/2010;;;;
08/05/2010;;;;
09/05/2010;;;;
10/05/2010;;;;
11/05/2010;;;;
12/05/2010;;;;
13/05/2010;;;;
14/05/2010;;;;
15/05/2010;;;;
16/05/2010;;;;
17/05/2010;12:00;18:15;15:00;15:15
18/05/2010;09:00;18:00;12:00;13:00
19/05/2010;09:00;18:00;12:00;13:00
20/05/2010;09:00;18:00;12:00;13:00
21/05/2010;09:00;18:00;12:00;13:00
22/05/2010;;;;
23/05/2010;;;;
24/05/2010;09:17;18:03;13:00;14:00
25/05/2010;08:57;18:00;12:54;13:56
26/05/2010;08:56;17:58;12:54;13:57
27/05/2010;09:00;18:00;13:02;14:02
28/05/2010;08:00;17:01;12:03;13:04
29/05/2010;;;;
30/05/2010;;;;
31/05/2010;09:00;15:15;12:00;12:15
01/06/2010;10:36;16:52;14:00;14:15
02/06/2010;10:43;16:58;14:00;14:15
03/06/2010;;;;
04/06/2010;10:41;16:56;14:00;14:15
05/06/2010;;;;
06/06/2010;;;;
07/06/2010;10:41;16:56;14:00;14:15
08/06/2010;10:46;17:00;14:00;14:15
09/06/2010;10:39;16:55;14:00;14:15
10/06/2010;10:41;16:56;14:00;14:15
11/06/2010;10:36;16:52;14:00;14:15
12/06/2010;;;;
13/06/2010;;;;
14/06/2010;10:36;16:52;14:00;14:15
15/06/2010;08:01;14:16;11:01;11:16
16/06/2010;10:36;16:51;14:00;14:15
17/06/2010;10:45;17:01;14:00;14:15
18/06/2010;10:38;16:53;14:00;14:15
19/06/2010;;;;
20/06/2010;;;;
21/06/2010;10:39;16:54;14:00;14:15
22/06/2010;10:41;16:56;14:00;14:15
23/06/2010;10:40;16:55;14:00;14:15
24/06/2010;10:39;16:54;14:00;14:15
25/06/2010;07:50;16:42;10:37;13:29
26/06/2010;;;;
27/06/2010;;;;
28/06/2010;08:46;15:00;11:46;12:01
29/06/2010;10:39;16:54;14:00;14:15
30/06/2010;10:40;16:55;14:00;14:15
01/07/2010;09:51;16:07;13:00;13:15
02/07/2010;07:59;16:47;10:46;13:34
03/07/2010;;;;
04/07/2010;;;;
05/07/2010;09:58;16:14;13:00;13:15
06/07/2010;09:54;16:10;13:00;13:15
07/07/2010;09:53;16:08;13:00;13:15
08/07/2010;09:52;16:07;13:00;13:15
09/07/2010;;;;
10/07/2010;;;;
11/07/2010;;;;
12/07/2010;09:50;16:06;13:00;13:15
13/07/2010;09:50;16:06;13:00;13:15
14/07/2010;09:50;16:06;13:00;13:15
15/07/2010;09:50;16:06;13:00;13:15
16/07/2010;09:50;16:06;13:00;13:15
17/07/2010;;;;
18/07/2010;;;;
19/07/2010;09:51;16:06;13:00;13:15
20/07/2010;09:55;16:11;13:00;13:15
21/07/2010;09:56;16:12;13:00;13:15
22/07/2010;09:53;16:08;13:00;13:15
23/07/2010;09:51;16:08;13:00;13:15
24/07/2010;;;;
25/07/2010;;;;
26/07/2010;09:52;16:07;13:00;13:15
27/07/2010;09:50;16:06;13:00;13:15
28/07/2010;09:50;16:05;13:00;13:15
29/07/2010;09:51;16:06;13:00;13:15
30/07/2010;09:50;16:05;13:00;13:15
31/07/2010;;;;
01/08/2010;;;;
02/08/2010;09:01;15:59;13:00;13:15
03/08/2010;08:52;16:16;;
04/08/2010;08:48;16:11;;
05/08/2010;08:51;15:51;;
06/08/2010;;;;
07/08/2010;;;;
08/08/2010;;;;
09/08/2010;08:51;16:04;;
10/08/2010;08:51;15:49;11:51;12:06
11/08/2010;08:51;15:49;11:51;12:06
12/08/2010;08:51;15:49;11:51;12:06
13/08/2010;08:51;15:50;11:51;12:06
14/08/2010;;;;
15/08/2010;;;;
16/08/2010;09:50;16:05;13:00;13:15
17/08/2010;09:51;16:06;13:00;13:15
18/08/2010;09:55;16:10;13:00;13:15
19/08/2010;09:52;16:07;13:00;13:15
20/08/2010;09:52;16:07;13:00;13:15
21/08/2010;;;;
22/08/2010;;;;
23/08/2010;09:55;16:10;13:00;13:15
24/08/2010;09:55;16:10;13:00;13:15
25/08/2010;09:55;16:10;13:00;13:15
26/08/2010;09:50;16:06;13:00;13:15
27/08/2010;09:50;16:05;13:00;13:15
28/08/2010;;;;
29/08/2010;;;;
30/08/2010;09:51;16:06;13:00;13:15
31/08/2010;09:50;16:05;13:00;13:15
01/09/2010;09:50;16:05;13:00;13:15
02/09/2010;09:51;16:06;13:00;13:15
03/09/2010;08:52;15:42;11:52;12:07
04/09/2010;;;;
05/09/2010;;;;
06/09/2010;08:55;15:47;11:55;12:10
07/09/2010;;;;
08/09/2010;08:55;15:53;11:55;12:10
09/09/2010;08:50;15:47;11:50;12:05
10/09/2010;08:55;15:51;11:55;12:10
11/09/2010;;;;
12/09/2010;;;;
13/09/2010;09:50;16:05;13:00;13:15
14/09/2010;09:51;16:06;13:00;13:15
15/09/2010;09:55;16:10;13:00;13:15
16/09/2010;09:50;16:05;13:00;13:15
17/09/2010;09:53;16:08;13:00;13:15
18/09/2010;;;;
19/09/2010;;;;
20/09/2010;09:52;16:07;13:00;13:15
21/09/2010;09:51;16:06;13:00;13:15
22/09/2010;09:52;16:07;13:00;13:15
23/09/2010;09:52;16:07;13:00;13:15
24/09/2010;09:54;16:09;13:00;13:15
25/09/2010;;;;
26/09/2010;;;;
27/09/2010;09:50;16:05;13:00;13:15
28/09/2010;09:50;16:05;13:00;13:15
29/09/2010;09:55;16:11;13:00;13:15
30/09/2010;09:50;16:05;13:00;13:15
